Token,POS
Laai,VTHOG
die,LB
elektroniese,ASA
aansoekvorm,NSE
af,UPW
of,KN
kry,VTHOG
dit,PDOENP
by,SVS
jou,PTEB
naaste,AOA
SAID-kantoor,NSE
.,ZE
,
Die,LB
aansoekvorm,NSE
moet,VTUOM
deur,SVS
die,LB
aansoeker,NSE
self,PDOEW
ingevul,VVHOG
word,VTUOP
en,KN
nie,BS
deur,SVS
'n,LO
derde,TRAB
party,NSE
nie,UPO
",",ZM
anders,KO
sal,VUOT
die,LB
aansoek,NSE
nie,BS
oorweeg,VTHOG
word,VTUOP
nie,UPO
.,ZE
,
Raadpleeg,VTHOG
die,LB
aansoekgids,NSE
om,SVS
jou,PTEDP
deur,SVS
die,LB
lisensi‰ringsproses,NSE
te,UPI
help,VTHOG
.,ZE
,
Doen,VTHOG
die,LB
volgende,NA
in,SVS
die,LB
afdeling,NSE
Client,RV
Types,RV
:,ZM
,
merk,VTHOG
die,LB
blokkie,NSED
Manufacturer,RV
for,RV
AGOA,RK
onder,SVS
registration,RV
.,ZE
,
Verstrek,VTHOG
die,LB
volgende,NA
in,SVS
die,LB
afdeling,NSE
Manufacturer,RV
for,RV
AGOA,RK
Particulars,RV
:,ZM
,
jou,PTEB
onderneming,NSE
se,UPS
handelsnaam,NSE
,
die,LB
plek,NSE
waar,PB
die,LB
onderneming,NSE
fisies,BS
gele‰,ASP
is,VTHOK
(,ZPL
bv,BS
.,ZE
,
Plot,NSE
10,RS
),ZPR
,
die,LB
straatnaam,NSE
en,KN
-nommer,RWD
van,SVS
die,LB
onderneming,NSE
,
die,LB
voorstad,NSE
waarin,PB
die,LB
onderneming,NSE
gele‰,ASP
is,VTHOK
,
die,LB
stad,NSE
of,KN
dorp,NSE
waar,PB
die,LB
onderneming,NSE
gele‰,ASP
is,VTHOK
,
die,LB
poskode,NSE
van,SVS
die,LB
voorstad,NSE
waarin,PB
die,LB
onderneming,NSE
gele‰,ASP
is,VTHOK
.,ZE
,
Die,LB
afdeling,NSE
Authority,RV
to,RV
Apply,RV
moet,VTUOM
deur,SVS
die,LB
alleeneienaar,NSE
",",ZM
direkteur,NSE
",",ZM
vennote,NSM
",",ZM
lid,NSE
",",ZM
trustee,NSE
",",ZM
of,KN
persoon,NSE
wat,PB
die,LB
besigheid,NSE
bestuur,VTHOG
ingevul,VVHOG
word,VTUOP
wanneer,PB
daar,UXD
aansoek,NSE
gedoen,VVHOG
word,VTUOP
om,SVS
as,KO
'n,LO
doeane-en-aksyns,ASA
spesiale,ASA
vervaardiger,NSE
vir,SVS
AGOA,RK
geregistreer,VVHOG
te,UPI
word,VTUOP
.,ZE
,
Die,LB
naam,NSE
van,SVS
die,LB
aansoeker,NSE
of,KN
die,LB
geregistreerde,ASA
naam,NSE
van,SVS
die,LB
entiteit,NSE
",",ZM
en,KN
ni‚,BS
die,LB
handelsnaam,NSE
nie,UPO
",",ZM
moet,VTUOM
in,SVS
hierdie,PA
veld,NSE
ingevul,VVHOG
word,VTUOP
.,ZE
,
waar,PB
'n,LO
asterisk,NSE
(,ZPL
*,RS
),ZPR
voorkom,VTHSG
",",ZM
