Token,POS
Die,LB
doel,NSE
van,SVS
die,LB
webtuiste,NSE
vir,SVS
Suid-Afrikaanse,ASA
Regeringsdienste,NSM
is,VTHOK
om,SVS
'n,LO
enkele,THAB
bron,NSE
van,SVS
inligting,NM
te,UPI
bied,VTHOG
oor,SVS
dienste,NSM
wat,PB
deur,SVS
die,LB
Suid-Afrikaanse,ASA
regering,NSE
verskaf,VTHOG
word,VTUOP
.,ZE
,
Die,LB
oogmerk,NSE
is,VTHOK
om,SVS
die,LB
dispariteit,NSE
te,UPI
verminder,VTHOG
wat,PB
tussen,SVS
die,LB
bemagtigdes,NSM
en,KN
die,LB
ontmagtigdes,NSM
",",ZM
oftewel,KO
die,LB
eerste,TRAB
en,KN
tweede,TRAB
ekonomieë,NSM
",",ZM
bestaan,VTHOO
.,ZE
,
Die,LB
webtuiste,NSE
is,VTHOK
'n,LO
kritiese,ASA
ingryp,NSE
wat,PB
daarop,PB
gerig,VVHOO
is,VVUOP
om,SVS
seker,BS
te,UPI
maak,VTHOG
dat,KO
landsburgers,NSM
met,SVS
die,LB
regering,NSE
in,SVS
interaksie,NSE
sal,VTUOM
kan,VTUOM
tree,VTHOO
.,ZE
,
Die,LB
bedoelde,ASA
gebruikers,NSM
van,SVS
die,LB
webtuiste,NSE
is,VTHOK
Suid-Afrikaanse,ASA
burgers,NSM
in,SVS
alle,THAO
dele,NSM
van,SVS
die,LB
land,NSE
",",ZM
huidige,ASA
of,KN
voornemende,ASA
Suid-Afrikaanse,ASA
sakeondernemings,NSM
of,KN
organisasies,NSM
",",ZM
en,KN
burgers,NSM
en,KN
organisasies,NSM
van,SVS
ander,ASA
lande,NSM
wat,PB
dienste,NSM
deur,SVS
die,LB
Suid-Afrikaanse,ASA
regering,NSE
nodig,BS
het,VTHOG
.,ZE
,
